,text,coarse_label,fine_label
0,How did serfdom develop in and then leave Russia ?,2,26
1,What films featured the character Popeye Doyle ?,1,5
2,How can I find a list of celebrities ' real names ?,2,26
3,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,1,2
4,What is the full form of .com ?,0,1
5,What contemptible scoundrel stole the cork from my lunch ?,3,29
6,What team did baseball 's St. Louis Browns become ?,3,28
7,What is the oldest profession ?,3,30
8,What are liver enzymes ?,2,24
9,Name the scar-faced bounty hunter of The Old West .,3,29
10,When was Ozzy Osbourne born ?,5,39
11,Why do heavier objects travel downhill faster ?,2,27
12,Who was The Pride of the Yankees ?,3,29
13,Who killed Gandhi ?,3,29
14,What is considered the costliest disaster the insurance industry has ever faced ?,1,8
15,What sprawling U.S. state boasts the most airports ?,4,36
16,What did the only repealed amendment to the U.S. Constitution deal with ?,2,25
17,How many Jews were executed in concentration camps during WWII ?,5,38
18,What is `` Nine Inch Nails '' ?,2,24
19,What is an annotated bibliography ?,2,24
20,What is the date of Boxing Day ?,5,39
21,What articles of clothing are tokens in Monopoly ?,1,13
22,Name 11 famous martyrs .,3,29
23,What 's the Olympic motto ?,2,25
24,What is the origin of the name ` Scarlett ' ?,2,25
25,What 's the second-most-used vowel in English ?,1,12
26,Who was the inventor of silly putty ?,3,29
27,What is the highest waterfall in the United States ?,4,35
28,Name a golf course in Myrtle Beach .,1,13
29,Which two states enclose Chesapeake Bay ?,4,36
30,What does the abbreviation AIDS stand for ?,0,1
31,What does a spermologer collect ?,1,13
32,How many points make up a perfect fivepin bowling score ?,5,38
33,Which company that manufactures video-game hardware sells the `` super system '' ?,3,28
34,How many Community Chest cards are there in Monopoly ?,5,38
35,What do Mormons believe ?,2,25
36,When did the neanderthal man live ?,5,39
37,In what religion was Isis the nature goddess ?,1,16
38,Where do the adventures of `` The Swiss Family Robinson '' take place ?,4,35
39,What relative of the racoon is sometimes known as the cat-bear ?,1,2
40,How can I register my website in Yahoo for free ?,2,26
41,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,1,13
42,How many people in the world speak French ?,5,38
43,How many inches over six feet is the Venus de Milo ?,5,38
44,How do they find or choose witnesses to an execution ?,2,26
45,What 1920s cowboy star rode Tony the Wonder Horse ?,3,29
46,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,1,9
47,What ISPs exist in the Caribbean ?,3,28
48,How do you ask a total stranger out on a date ?,2,26
49,What weapon is the mythological character Apollo most proficient with ?,1,13
50,What country do the Galapagos Islands belong to ?,4,33
51,What is ethology ?,2,24
52,Who was the prophet of the Muslim people ?,3,29
53,Where did the term `` 86ed '' come from ?,2,25
54,Who is Snoopy 's arch-enemy ?,3,29
55,What is the nature of learning ?,2,24
56,What 's the only color Johnny Cash wears on stage ?,1,4
57,What 's the term for a young fox ?,1,21
58,What U.S. state lived under six flags ?,4,36
59,What is the Kashmir issue ?,2,24
60,Where is the Loop ?,4,35
61,What does `` extended definition '' mean and how would one write a paper on it ?,2,24
62,What country 's capital is Tirana ?,4,33
63,What is titanium ?,2,24
64,Who do Herb and Tootsie live next door to ?,3,29
65,Which city has the oldest relationship as a sister city with Los Angeles ?,4,32
66,What is a caldera ?,2,24
67,Why do people get calluses ?,2,27
68,What are the names of the tourist attractions in Reims ?,4,35
69,What are Cushman and Wakefield known for ?,2,27
